("{1,31}",0101000020E6100000B6A68AB21A47624049967716693A42C0),{1,31},POINT(146.222008963397 -36.4563320239946)
("{1,32}",0101000020E610000043B920FB894862400E82914A7D3342C0),{1,32},POINT(146.266843379892 -36.4022610865105)
("{1,33}",0101000020E61000000F3D9825B84B6240C72F3A6A602E42C0),{1,33},POINT(146.366228864041 -36.36231735078)
("{1,34}",0101000020E6100000BE7ACCD5A54B6240FC91CE12A62842C0),{1,34},POINT(146.36399354875 -36.3175681599277)
("{1,35}",0101000020E6100000ADFE6A620B4F62400E795705C11642C0),{1,35},POINT(146.470139702772 -36.1777655293573)
("{1,36}",0101000020E6100000F933A69060506240B43C75E6311442C0),{1,36},POINT(146.511787724128 -36.1577728340575)
("{1,37}",0101000020E61000007BEB5151AB536240DF43C16B0B1342C0),{1,37},POINT(146.614662799835 -36.1487860387494)
("{1,38}",0101000020E6100000D4838F873F5762402E622FD0630942C0),{1,38},POINT(146.726505070021 -36.0733585578313)
("{1,39}",0101000020E6100000C846F8EF7D596240CB3DC1CB540942C0),{1,39},POINT(146.796623215594 -36.0729002660333)
("{1,40}",0101000020E6100000B1668D5F3F5C62408BD66CD4E10C42C0),{1,40},POINT(146.882735992598 -36.1006417781292)
("{1,41}",0101000020E6100000CB49B59C4D5D6240765BD5F5D60A42C0),{1,41},POINT(146.915724138335 -36.0846850673469)
("{1,42}",0101000020E6100000B797883AF55E6240B740B48DC90342C0),{1,42},POINT(146.967435137541 -36.0295884256497)
("{1,43}",0101000020E610000054B597C5F45F6240843A7454DDF541C0),{1,43},POINT(146.998629375749 -35.9208169524691)
("{1,44}",0101000020E61000003F92DB49956462401DE1CB03E2F341C0),{1,44},POINT(147.143223694658 -35.9053349252228)
("{1,45}",0101000020E6100000B43FD91C3D666240A2D75EDABAEA41C0),{1,45},POINT(147.19496004516 -35.8338273013208)
("{1,46}",0101000020E6100000666CEB739668624065566381F7E241C0),{1,46},POINT(147.268365821659 -35.7731782660528)
